Description,pvalue,cluster
GO:0019760_glucosinolate metabolic process,0.773,8
GO:0009746_response to hexose,0.985,8
GO:0009409_response to cold,0.462,8
GO:1905039_carboxylic acid transmembrane transport,0.873,8
GO:1901659_glycosyl compound biosynthetic process,0.419,8
GO:0031347_regulation of defense response,0.123,8
GO:0006568_tryptophan metabolic process,0.644,8
GO:0006586_indolalkylamine metabolic process,0.644,8
GO:0006508_proteolysis,1,8
GO:0034220_ion transmembrane transport,0.837,8
GO:0016137_glycoside metabolic process,0.494,8
GO:0042446_hormone biosynthetic process,0.902,8
GO:0019344_cysteine biosynthetic process,0.949,8
GO:0005982_starch metabolic process,0.951,8
GO:0006576_cellular biogenic amine metabolic process,0.336,8
GO:0046777_protein autophosphorylation,0.701,8
GO:0010150_leaf senescence,0.0988,8
GO:0090693_plant organ senescence,0.1,8
GO:0043090_amino acid import,0.00439,8
GO:0009725_response to hormone,0.263,8
GO:0016556_mRNA modification,0.928,8
GO:0043269_regulation of ion transport,0.751,8
GO:0016226_iron-sulfur cluster assembly,0.763,8
GO:0031163_metallo-sulfur cluster assembly,0.763,8
GO:0006757_ATP generation from ADP,0.895,8
GO:0006096_glycolytic process,0.895,8
GO:0046031_ADP metabolic process,0.895,8
GO:0016052_carbohydrate catabolic process,0.651,8
GO:0009832_plant-type cell wall biogenesis,0.9,8
GO:0009179_purine ribonucleoside diphosphate metabolic process,0.902,8
GO:0009135_purine nucleoside diphosphate metabolic process,0.902,8
GO:0009185_ribonucleoside diphosphate metabolic process,0.902,8
GO:0006165_nucleoside diphosphate phosphorylation,0.902,8
GO:0045087_innate immune response,0.0184,8
GO:0000023_maltose metabolic process,0.781,8
GO:0007167_enzyme linked receptor protein signaling pathway,0.783,8
GO:0016132_brassinosteroid biosynthetic process,0.771,8
GO:0015979_photosynthesis,1,8
GO:0120178_steroid hormone biosynthetic process,0.775,8
GO:0009132_nucleoside diphosphate metabolic process,0.913,8
GO:0043481_anthocyanin accumulation in tissues in response to UV light,1,8
GO:0016129_phytosteroid biosynthetic process,0.796,8
GO:0006812_cation transport,0.898,8
GO:0016131_brassinosteroid metabolic process,0.187,8
GO:0046939_nucleotide phosphorylation,0.928,8
GO:0104004_cellular response to environmental stimulus,0.385,8
GO:0071214_cellular response to abiotic stimulus,0.385,8
GO:0009913_epidermal cell differentiation,0.842,8
GO:0048569_post-embryonic animal organ development,0.759,8
GO:0030855_epithelial cell differentiation,0.851,8
GO:0048229_gametophyte development,0.926,8
GO:1903508_positive regulation of nucleic acid-templated transcription,0.961,8
"GO:0045893_positive regulation of transcription, DNA-templated",0.961,8
GO:1902680_positive regulation of RNA biosynthetic process,0.961,8
GO:0008544_epidermis development,0.874,8
GO:0055085_transmembrane transport,0.974,8
GO:0005996_monosaccharide metabolic process,0.994,8
GO:0048646_anatomical structure formation involved in morphogenesis,0.992,8
GO:0009165_nucleotide biosynthetic process,0.995,8
GO:0009266_response to temperature stimulus,0.504,8
GO:1901293_nucleoside phosphate biosynthetic process,0.996,8
GO:0043094_cellular metabolic compound salvage,1,8
GO:0007165_signal transduction,0.0553,8
GO:0034976_response to endoplasmic reticulum stress,0.496,8
GO:0060429_epithelium development,0.921,8
GO:0007166_cell surface receptor signaling pathway,0.0969,8
GO:0051603_proteolysis involved in cellular protein catabolic process,0.982,8
GO:1901137_carbohydrate derivative biosynthetic process,0.989,8
GO:0030163_protein catabolic process,0.992,8
GO:0044282_small molecule catabolic process,0.994,8
GO:0046034_ATP metabolic process,0.973,8
GO:0007030_Golgi organization,0.949,8
GO:0033993_response to lipid,0.608,8
GO:0044257_cellular protein catabolic process,0.989,8
GO:1901565_organonitrogen compound catabolic process,0.999,8
GO:0009150_purine ribonucleotide metabolic process,0.981,8
GO:0055086_nucleobase-containing small molecule metabolic process,1,8
GO:0009164_nucleoside catabolic process,0.955,8
GO:0034656_nucleobase-containing small molecule catabolic process,0.956,8
GO:1901658_glycosyl compound catabolic process,0.961,8
GO:0009205_purine ribonucleoside triphosphate metabolic process,0.962,8
GO:0009144_purine nucleoside triphosphate metabolic process,0.964,8
GO:0009119_ribonucleoside metabolic process,0.965,8
GO:0014070_response to organic cyclic compound,0.9,8
GO:0009199_ribonucleoside triphosphate metabolic process,0.967,8
GO:0009141_nucleoside triphosphate metabolic process,0.972,8
GO:0009886_post-embryonic animal morphogenesis,1,8
GO:1901657_glycosyl compound metabolic process,0.953,8
GO:0044248_cellular catabolic process,1,8
GO:0006518_peptide metabolic process,1,8
GO:0009116_nucleoside metabolic process,0.975,8
GO:0007389_pattern specification process,0.957,8
GO:0006412_translation,1,8
GO:0043043_peptide biosynthetic process,1,8
GO:0043604_amide biosynthetic process,1,8
GO:0070542_response to fatty acid,0.0827,8
GO:0072657_protein localization to membrane,0.104,8
GO:0042743_hydrogen peroxide metabolic process,0.0364,8
GO:0090150_establishment of protein localization to membrane,0.137,8
GO:2000377_regulation of reactive oxygen species metabolic process,0.16,8
GO:0009626_plant-type hypersensitive response,0.0449,8
GO:0071369_cellular response to ethylene stimulus,1,8
GO:0050776_regulation of immune response,0.0449,8
GO:0052314_phytoalexin metabolic process,1,8
GO:0052315_phytoalexin biosynthetic process,0.00432,8
GO:0051668_localization within membrane,0.141,8
GO:0002682_regulation of immune system process,0.0282,8
GO:0046287_isoflavonoid metabolic process,0.0193,8
GO:0000160_phosphorelay signal transduction system,1,8
GO:0018958_phenol-containing compound metabolic process,1,8
GO:0009717_isoflavonoid biosynthetic process,0.0193,8
GO:0034050_programmed cell death induced by symbiont,0.0473,8
GO:1900376_regulation of secondary metabolite biosynthetic process,1,8
GO:0009812_flavonoid metabolic process,1,8
GO:0045088_regulation of innate immune response,0.0138,8
GO:0072593_reactive oxygen species metabolic process,0.0763,8
GO:0051702_biological process involved in interaction with symbiont,0.0483,8
GO:0008219_cell death,0.196,8
GO:0002831_regulation of response to biotic stimulus,0.0294,8
GO:0009403_toxin biosynthetic process,1,8
GO:0032101_regulation of response to external stimulus,0.015,8
GO:0000038_very long-chain fatty acid metabolic process,0.673,8
GO:0000103_sulfate assimilation,1,8
GO:0000154_rRNA modification,1,8
GO:0000256_allantoin catabolic process,1,8
GO:0000270_peptidoglycan metabolic process,1,8
GO:0000289_nuclear-transcribed mRNA poly(A) tail shortening,1,8
GO:0000304_response to singlet oxygen,1,8
GO:0000305_response to oxygen radical,0.686,8
GO:0000413_protein peptidyl-prolyl isomerization,1,8
GO:0000447_endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU...,1,8
"GO:0000462_maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,8
"GO:0000463_maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,8
GO:0000470_maturation of LSU-rRNA,1,8
"GO:0000472_endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,8
"GO:0000480_endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,8
GO:0000494_box C/D RNA 3'-end processing,1,8
GO:0000746_conjugation,1,8
GO:0000747_conjugation with cellular fusion,1,8
GO:0001503_ossification,1,8
GO:0001516_prostaglandin biosynthetic process,1,8
GO:0001542_ovulation from ovarian follicle,1,8
GO:0001561_fatty acid alpha-oxidation,1,8
GO:0001649_osteoblast differentiation,1,8
GO:0001706_endoderm formation,1,8
GO:0001707_mesoderm formation,1,8
GO:0001738_morphogenesis of a polarized epithelium,1,8
GO:0001909_leukocyte mediated cytotoxicity,1,8
GO:0002119_nematode larval development,1,8
GO:0002213_defense response to insect,0.0975,8
GO:0002218_activation of innate immune response,0.0115,8
GO:0002229_defense response to oomycetes,1,8
GO:0002230_positive regulation of defense response to virus by host,1,8
GO:0002238_response to molecule of fungal origin,1,8
GO:0002239_response to oomycetes,1,8
GO:0002253_activation of immune response,0.0289,8
GO:0002526_acute inflammatory response,1,8
GO:0002683_negative regulation of immune system process,1,8
GO:0002684_positive regulation of immune system process,0.0455,8
GO:0002763_positive regulation of myeloid leukocyte differentiation,1,8
GO:0002832_negative regulation of response to biotic stimulus,1,8
GO:0002833_positive regulation of response to biotic stimulus,0.0477,8
GO:0003016_respiratory system process,1,8
GO:0003032_detection of oxygen,1,8
GO:0003341_cilium movement,1,8
GO:0005980_glycogen catabolic process,1,8
GO:0005983_starch catabolic process,1,8
GO:0005986_sucrose biosynthetic process,0.21,8
GO:0005992_trehalose biosynthetic process,0.369,8
GO:0006021_inositol biosynthetic process,1,8
GO:0006023_aminoglycan biosynthetic process,1,8
GO:0006024_glycosaminoglycan biosynthetic process,1,8
GO:0006059_hexitol metabolic process,1,8
GO:0006067_ethanol metabolic process,1,8
GO:0006069_ethanol oxidation,1,8
GO:0006076_(1->3)-beta-D-glucan catabolic process,1,8
GO:0006080_substituted mannan metabolic process,1,8
GO:0006084_acetyl-CoA metabolic process,0.949,8
GO:0006085_acetyl-CoA biosynthetic process,1,8
GO:0006086_acetyl-CoA biosynthetic process from pyruvate,1,8
GO:0006097_glyoxylate cycle,1,8
GO:0006098_pentose-phosphate shunt,0.902,8
GO:0006104_succinyl-CoA metabolic process,1,8
GO:0006105_succinate metabolic process,1,8
GO:0006107_oxaloacetate metabolic process,1,8
"GO:0006123_mitochondrial electron transport, cytochrome c to oxygen",1,8
GO:0006127_glycerophosphate shuttle,1,8
GO:0006177_GMP biosynthetic process,1,8
GO:0006188_IMP biosynthetic process,1,8
GO:0006189_'de novo' IMP biosynthetic process,1,8
GO:0006206_pyrimidine nucleobase metabolic process,1,8
GO:0006364_rRNA processing,1,8
GO:0006409_tRNA export from nucleus,1,8
GO:0006422_aspartyl-tRNA aminoacylation,1,8
GO:0006424_glutamyl-tRNA aminoacylation,1,8
GO:0006457_protein folding,0.991,8
GO:0006487_protein N-linked glycosylation,1,8
GO:0006491_N-glycan processing,1,8
GO:0006499_N-terminal protein myristoylation,0.812,8
GO:0006522_alanine metabolic process,1,8
GO:0006524_alanine catabolic process,1,8
GO:0006528_asparagine metabolic process,1,8
GO:0006529_asparagine biosynthetic process,1,8
GO:0006536_glutamate metabolic process,1,8
GO:0006541_glutamine metabolic process,1,8
GO:0006561_proline biosynthetic process,0.048,8
GO:0006564_L-serine biosynthetic process,1,8
GO:0006571_tyrosine biosynthetic process,1,8
GO:0006573_valine metabolic process,1,8
GO:0006577_amino-acid betaine metabolic process,1,8
GO:0006578_amino-acid betaine biosynthetic process,1,8
GO:0006580_ethanolamine metabolic process,1,8
GO:0006621_protein retention in ER lumen,1,8
GO:0006659_phosphatidylserine biosynthetic process,1,8
GO:0006692_prostanoid metabolic process,1,8
GO:0006693_prostaglandin metabolic process,1,8
GO:0006722_triterpenoid metabolic process,1,8
GO:0006739_NADP metabolic process,0.918,8
GO:0006740_NADPH regeneration,0.903,8
GO:0006754_ATP biosynthetic process,1,8
GO:0006808_regulation of nitrogen utilization,1,8
GO:0006809_nitric oxide biosynthetic process,1,8
GO:0006816_calcium ion transport,0.841,8
GO:0006835_dicarboxylic acid transport,1,8
GO:0006842_tricarboxylic acid transport,1,8
GO:0006862_nucleotide transport,0.847,8
GO:0006888_endoplasmic reticulum to Golgi vesicle-mediated transport,0.898,8
GO:0006949_syncytium formation,1,8
GO:0006983_ER overload response,1,8
GO:0007007_inner mitochondrial membrane organization,1,8
GO:0007018_microtubule-based movement,0.89,8
GO:0007199_G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger,1,8
GO:0007204_positive regulation of cytosolic calcium ion concentration,0.029,8
GO:0007215_glutamate receptor signaling pathway,1,8
GO:0007263_nitric oxide mediated signal transduction,1,8
GO:0007268_chemical synaptic transmission,0.0264,8
GO:0007298_border follicle cell migration,1,8
GO:0007362_terminal region determination,1,8
GO:0007474_imaginal disc-derived wing vein specification,1,8
GO:0007492_endoderm development,1,8
GO:0007585_respiratory gaseous exchange by respiratory system,1,8
GO:0007638_mechanosensory behavior,1,8
GO:0008015_blood circulation,1,8
GO:0008277_regulation of G protein-coupled receptor signaling pathway,1,8
GO:0008586_imaginal disc-derived wing vein morphogenesis,1,8
GO:0008589_regulation of smoothened signaling pathway,1,8
GO:0008631_intrinsic apoptotic signaling pathway in response to oxidative stress,1,8
"GO:0009051_pentose-phosphate shunt, oxidative branch",1,8
"GO:0009052_pentose-phosphate shunt, non-oxidative branch",1,8
GO:0009060_aerobic respiration,0.706,8
GO:0009078_pyruvate family amino acid metabolic process,1,8
GO:0009080_pyruvate family amino acid catabolic process,1,8
GO:0009094_L-phenylalanine biosynthetic process,0.162,8
GO:0009142_nucleoside triphosphate biosynthetic process,1,8
GO:0009145_purine nucleoside triphosphate biosynthetic process,1,8
GO:0009201_ribonucleoside triphosphate biosynthetic process,1,8
GO:0009206_purine ribonucleoside triphosphate biosynthetic process,1,8
GO:0009228_thiamine biosynthetic process,0.21,8
GO:0009251_glucan catabolic process,1,8
GO:0009252_peptidoglycan biosynthetic process,1,8
GO:0009273_peptidoglycan-based cell wall biogenesis,1,8
GO:0009401_phosphoenolpyruvate-dependent sugar phosphotransferase system,1,8
GO:0009408_response to heat,0.0572,8
GO:0009423_chorismate biosynthetic process,1,8
GO:0009446_putrescine biosynthetic process,1,8
GO:0009553_embryo sac development,1,8
GO:0009560_embryo sac egg cell differentiation,1,8
GO:0009625_response to insect,0.00567,8
GO:0009631_cold acclimation,1,8
GO:0009638_phototropism,1,8
GO:0009643_photosynthetic acclimation,1,8
GO:0009645_response to low light intensity stimulus,1,8
GO:0009657_plastid organization,0.999,8
GO:0009658_chloroplast organization,0.998,8
GO:0009686_gibberellin biosynthetic process,0.64,8
GO:0009690_cytokinin metabolic process,0.848,8
GO:0009700_indole phytoalexin biosynthetic process,0.0131,8
GO:0009704_de-etiolation,1,8
GO:0009714_chalcone metabolic process,1,8
GO:0009715_chalcone biosynthetic process,1,8
GO:0009727_detection of ethylene stimulus,0.17,8
GO:0009749_response to glucose,1,8
GO:0009756_carbohydrate mediated signaling,1,8
GO:0009759_indole glucosinolate biosynthetic process,0.162,8
"GO:0009765_photosynthesis, light harvesting",1,8
GO:0009767_photosynthetic electron transport chain,1,8
"GO:0009769_photosynthesis, light harvesting in photosystem II",1,8
GO:0009772_photosynthetic electron transport in photosystem II,1,8
GO:0009773_photosynthetic electron transport in photosystem I,1,8
GO:0009780_photosynthetic NADP+ reduction,1,8
GO:0009785_blue light signaling pathway,0.456,8
GO:0009821_alkaloid biosynthetic process,1,8
GO:0009852_auxin catabolic process,0.0478,8
GO:0009853_photorespiration,1,8
GO:0009854_oxidative photosynthetic carbon pathway,1,8
GO:0009861_jasmonic acid and ethylene-dependent systemic resistance,0.311,8
"GO:0009866_induced systemic resistance, ethylene mediated signaling pathway",0.128,8
"GO:0009868_jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway",1,8
"GO:0009871_jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway",0.128,8
GO:0009900_dehiscence,1,8
GO:0009901_anther dehiscence,1,8
GO:0009902_chloroplast relocation,0.926,8
GO:0009920_cell plate formation involved in plant-type cell wall biogenesis,0.0388,8
GO:0009937_regulation of gibberellic acid mediated signaling pathway,1,8
GO:0009938_negative regulation of gibberellic acid mediated signaling pathway,1,8
GO:0009943_adaxial/abaxial axis specification,1,8
GO:0009944_polarity specification of adaxial/abaxial axis,1,8
GO:0009945_radial axis specification,1,8
GO:0009958_positive gravitropism,1,8
GO:0009959_negative gravitropism,1,8
GO:0010020_chloroplast fission,1,8
GO:0010021_amylopectin biosynthetic process,1,8
GO:0010027_thylakoid membrane organization,0.95,8
GO:0010036_response to boron-containing substance,1,8
GO:0010037_response to carbon dioxide,1,8
GO:0010047_fruit dehiscence,1,8
GO:0010086_embryonic root morphogenesis,1,8
GO:0010088_phloem development,1,8
GO:0010091_trichome branching,0.191,8
GO:0010105_negative regulation of ethylene-activated signaling pathway,1,8
GO:0010109_regulation of photosynthesis,1,8
"GO:0010110_regulation of photosynthesis, dark reaction",1,8
GO:0010112_regulation of systemic acquired resistance,1,8
GO:0010113_negative regulation of systemic acquired resistance,1,8
GO:0010120_camalexin biosynthetic process,0.0104,8
GO:0010135_ureide metabolic process,1,8
GO:0010136_ureide catabolic process,1,8
GO:0010182_sugar mediated signaling pathway,1,8
GO:0010187_negative regulation of seed germination,1,8
GO:0010188_response to microbial phytotoxin,1,8
GO:0010196_nonphotochemical quenching,1,8
GO:0010205_photoinhibition,1,8
GO:0010207_photosystem II assembly,1,8
GO:0010215_cellulose microfibril organization,1,8
GO:0010219_regulation of vernalization response,1,8
GO:0010220_positive regulation of vernalization response,1,8
GO:0010229_inflorescence development,1,8
GO:0010234_anther wall tapetum cell fate specification,1,8
GO:0010236_plastoquinone biosynthetic process,1,8
GO:0010239_chloroplast mRNA processing,1,8
GO:0010244_response to low fluence blue light stimulus by blue low-fluence system,1,8
GO:0010247_detection of phosphate ion,1,8
GO:0010254_nectary development,1,8
GO:0010258_NADH dehydrogenase complex (plastoquinone) assembly,1,8
GO:0010262_somatic embryogenesis,0.00056,8
GO:0010264_myo-inositol hexakisphosphate biosynthetic process,1,8
GO:0010266_response to vitamin B1,1,8
GO:0010270_photosystem II oxygen evolving complex assembly,1,8
GO:0010271_regulation of chlorophyll catabolic process,1,8
GO:0010286_heat acclimation,0.15,8
GO:0010289_homogalacturonan biosynthetic process,1,8
GO:0010304_PSII associated light-harvesting complex II catabolic process,1,8
"GO:0010322_regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",1,8
GO:0010337_regulation of salicylic acid metabolic process,0.344,8
GO:0010338_leaf formation,1,8
GO:0010343_singlet oxygen-mediated programmed cell death,1,8
GO:0010361_regulation of anion channel activity by blue light,1,8
GO:0010362_negative regulation of anion channel activity by blue light,1,8
GO:0010392_galactoglucomannan metabolic process,1,8
GO:0010394_homogalacturonan metabolic process,1,8
GO:0010432_bract development,1,8
GO:0010433_bract morphogenesis,1,8
GO:0010434_bract formation,1,8
GO:0010447_response to acidic pH,1,8
GO:0010480_microsporocyte differentiation,1,8
GO:0010581_regulation of starch biosynthetic process,1,8
GO:0010597_green leaf volatile biosynthetic process,1,8
GO:0010731_protein glutathionylation,1,8
GO:0010815_bradykinin catabolic process,1,8
GO:0010830_regulation of myotube differentiation,1,8
GO:0010930_negative regulation of auxin mediated signaling pathway,0.0478,8
GO:0014071_response to cycloalkane,1,8
GO:0014074_response to purine-containing compound,0.178,8
GO:0015669_gas transport,1,8
GO:0015671_oxygen transport,1,8
GO:0015690_aluminum cation transport,1,8
GO:0015696_ammonium transport,0.663,8
GO:0015708_silicic acid import across plasma membrane,1,8
GO:0015712_hexose phosphate transport,1,8
GO:0015713_phosphoglycerate transmembrane transport,1,8
GO:0015714_phosphoenolpyruvate transport,1,8
GO:0015717_triose phosphate transport,1,8
GO:0015727_lactate transport,1,8
GO:0015744_succinate transport,1,8
GO:0015746_citrate transport,1,8
GO:0015760_glucose-6-phosphate transport,1,8
GO:0015768_maltose transport,1,8
GO:0015780_nucleotide-sugar transmembrane transport,1,8
GO:0015786_UDP-glucose transmembrane transport,1,8
GO:0015791_polyol transport,1,8
GO:0015794_glycerol-3-phosphate transmembrane transport,1,8
GO:0015800_acidic amino acid transport,0.283,8
GO:0015802_basic amino acid transport,0.695,8
GO:0015819_lysine transport,1,8
GO:0015843_methylammonium transport,1,8
GO:0015853_adenine transport,1,8
GO:0015854_guanine transport,1,8
GO:0015866_ADP transport,1,8
GO:0015884_folic acid transport,1,8
GO:0015917_aminophospholipid transport,0.0478,8
GO:0015969_guanosine tetraphosphate metabolic process,1,8
GO:0015977_carbon fixation,1,8
GO:0015995_chlorophyll biosynthetic process,0.918,8
GO:0016103_diterpenoid catabolic process,1,8
GO:0016104_triterpenoid biosynthetic process,1,8
GO:0016110_tetraterpenoid catabolic process,1,8
GO:0016117_carotenoid biosynthetic process,1,8
GO:0016118_carotenoid catabolic process,1,8
GO:0016121_carotene catabolic process,1,8
GO:0016122_xanthophyll metabolic process,1,8
GO:0016124_xanthophyll catabolic process,1,8
GO:0016139_glycoside catabolic process,1,8
GO:0016145_S-glycoside catabolic process,1,8
GO:0016318_ommatidial rotation,1,8
GO:0016579_protein deubiquitination,0.89,8
GO:0017000_antibiotic biosynthetic process,1,8
GO:0018149_peptide cross-linking,1,8
GO:0018160_peptidyl-pyrromethane cofactor linkage,1,8
GO:0018198_peptidyl-cysteine modification,1,8
GO:0018316_peptide cross-linking via L-cystine,1,8
GO:0018874_benzoate metabolic process,1,8
GO:0019218_regulation of steroid metabolic process,1,8
GO:0019244_lactate biosynthetic process from pyruvate,1,8
GO:0019249_lactate biosynthetic process,1,8
GO:0019253_reductive pentose-phosphate cycle,1,8
GO:0019264_glycine biosynthetic process from serine,1,8
GO:0019284_L-methionine salvage from S-adenosylmethionine,1,8
GO:0019285_glycine betaine biosynthetic process from choline,1,8
GO:0019323_pentose catabolic process,1,8
GO:0019359_nicotinamide nucleotide biosynthetic process,0.194,8
GO:0019363_pyridine nucleotide biosynthetic process,0.21,8
GO:0019369_arachidonic acid metabolic process,1,8
GO:0019374_galactolipid metabolic process,0.339,8
GO:0019375_galactolipid biosynthetic process,0.336,8
GO:0019388_galactose catabolic process,1,8
GO:0019406_hexitol biosynthetic process,1,8
GO:0019427_acetyl-CoA biosynthetic process from acetate,1,8
GO:0019430_removal of superoxide radicals,1,8
GO:0019441_tryptophan catabolic process to kynurenine,1,8
GO:0019464_glycine decarboxylation via glycine cleavage system,1,8
GO:0019478_D-amino acid catabolic process,1,8
"GO:0019481_L-alanine catabolic process, by transamination",1,8
GO:0019509_L-methionine salvage from methylthioadenosine,1,8
GO:0019516_lactate oxidation,1,8
GO:0019521_D-gluconate metabolic process,1,8
GO:0019566_arabinose metabolic process,1,8
GO:0019593_mannitol biosynthetic process,1,8
GO:0019594_mannitol metabolic process,1,8
GO:0019628_urate catabolic process,1,8
GO:0019674_NAD metabolic process,1,8
GO:0019676_ammonia assimilation cycle,1,8
GO:0019695_choline metabolic process,1,8
GO:0019740_nitrogen utilization,1,8
GO:0019742_pentacyclic triterpenoid metabolic process,1,8
GO:0019745_pentacyclic triterpenoid biosynthetic process,1,8
GO:0019755_one-carbon compound transport,1,8
GO:0019759_glycosinolate catabolic process,1,8
GO:0019762_glucosinolate catabolic process,1,8
"GO:0019918_peptidyl-arginine methylation, to symmetrical-dimethyl arginine",1,8
GO:0021536_diencephalon development,0.0384,8
GO:0022900_electron transport chain,0.988,8
GO:0030004_cellular monovalent inorganic cation homeostasis,1,8
GO:0030007_cellular potassium ion homeostasis,1,8
GO:0030042_actin filament depolymerization,1,8
GO:0030091_protein repair,1,8
GO:0030104_water homeostasis,0.194,8
GO:0030150_protein import into mitochondrial matrix,1,8
GO:0030166_proteoglycan biosynthetic process,1,8
GO:0030224_monocyte differentiation,1,8
GO:0030225_macrophage differentiation,1,8
GO:0030308_negative regulation of cell growth,1,8
GO:0030317_flagellated sperm motility,1,8
GO:0030435_sporulation resulting in formation of a cellular spore,1,8
GO:0030490_maturation of SSU-rRNA,1,8
GO:0030493_bacteriochlorophyll metabolic process,1,8
GO:0030494_bacteriochlorophyll biosynthetic process,1,8
GO:0030497_fatty acid elongation,1,8
GO:0030505_inorganic diphosphate transport,1,8
GO:0030520_intracellular estrogen receptor signaling pathway,1,8
GO:0030834_regulation of actin filament depolymerization,1,8
GO:0030835_negative regulation of actin filament depolymerization,1,8
GO:0031098_stress-activated protein kinase signaling cascade,1,8
GO:0031281_positive regulation of cyclase activity,1,8
GO:0031290_retinal ganglion cell axon guidance,1,8
GO:0031349_positive regulation of defense response,0.055,8
GO:0031425_chloroplast RNA processing,0.539,8
GO:0031426_polycistronic mRNA processing,1,8
GO:0031455_glycine betaine metabolic process,1,8
GO:0031456_glycine betaine biosynthetic process,1,8
GO:0031539_positive regulation of anthocyanin metabolic process,1,8
GO:0031644_regulation of nervous system process,0.0554,8
GO:0031998_regulation of fatty acid beta-oxidation,1,8
GO:0032102_negative regulation of response to external stimulus,1,8
GO:0032461_positive regulation of protein oligomerization,1,8
GO:0032544_plastid translation,1,8
GO:0032868_response to insulin,0.0131,8
GO:0032890_regulation of organic acid transport,1,8
GO:0032940_secretion by cell,0.817,8
GO:0033119_negative regulation of RNA splicing,1,8
GO:0033198_response to ATP,0.0933,8
GO:0033239_negative regulation of cellular amine metabolic process,1,8
GO:0033306_phytol metabolic process,1,8
GO:0033333_fin development,1,8
GO:0033334_fin morphogenesis,1,8
GO:0033383_geranyl diphosphate metabolic process,1,8
GO:0033385_geranylgeranyl diphosphate metabolic process,1,8
GO:0033485_cyanidin 3-O-glucoside biosynthetic process,1,8
GO:0033500_carbohydrate homeostasis,0.461,8
GO:0033519_phytyl diphosphate metabolic process,1,8
GO:0033521_phytyl diphosphate biosynthetic process,1,8
GO:0034204_lipid translocation,0.0303,8
GO:0034389_lipid droplet organization,1,8
GO:0034698_response to gonadotropin,1,8
GO:0034755_iron ion transmembrane transport,1,8
GO:0035150_regulation of tube size,1,8
GO:0035235_ionotropic glutamate receptor signaling pathway,0.00079,8
GO:0035304_regulation of protein dephosphorylation,0.844,8
GO:0035311_wing cell fate specification,1,8
GO:0035436_triose phosphate transmembrane transport,1,8
GO:0035437_maintenance of protein localization in endoplasmic reticulum,1,8
GO:0035445_borate transmembrane transport,1,8
GO:0035674_tricarboxylic acid transmembrane transport,1,8
GO:0035873_lactate transmembrane transport,1,8
GO:0035987_endodermal cell differentiation,1,8
GO:0036068_light-independent chlorophyll biosynthetic process,1,8
GO:0036290_protein trans-autophosphorylation,1,8
GO:0038171_cannabinoid signaling pathway,1,8
GO:0040010_positive regulation of growth rate,1,8
GO:0040019_positive regulation of embryonic development,1,8
GO:0042052_rhabdomere development,1,8
GO:0042110_T cell activation,1,8
GO:0042118_endothelial cell activation,1,8
GO:0042126_nitrate metabolic process,0.136,8
GO:0042128_nitrate assimilation,0.136,8
GO:0042219_cellular modified amino acid catabolic process,1,8
GO:0042273_ribosomal large subunit biogenesis,0.788,8
GO:0042335_cuticle development,0.337,8
GO:0042344_indole glucosinolate catabolic process,1,8
GO:0042386_hemocyte differentiation,1,8
GO:0042425_choline biosynthetic process,1,8
GO:0042476_odontogenesis,1,8
"GO:0042548_regulation of photosynthesis, light reaction",1,8
GO:0042550_photosystem I stabilization,1,8
GO:0042551_neuron maturation,1,8
GO:0042593_glucose homeostasis,1,8
GO:0042631_cellular response to water deprivation,0.108,8
GO:0042675_compound eye cone cell differentiation,1,8
GO:0042710_biofilm formation,0.0384,8
GO:0042777_plasma membrane ATP synthesis coupled proton transport,1,8
GO:0042790_nucleolar large rRNA transcription by RNA polymerase I,1,8
GO:0042793_plastid transcription,1,8
GO:0042816_vitamin B6 metabolic process,1,8
GO:0042817_pyridoxal metabolic process,1,8
GO:0042819_vitamin B6 biosynthetic process,1,8
GO:0042821_pyridoxal biosynthetic process,1,8
GO:0042822_pyridoxal phosphate metabolic process,1,8
GO:0042823_pyridoxal phosphate biosynthetic process,1,8
GO:0042851_L-alanine metabolic process,1,8
GO:0042853_L-alanine catabolic process,1,8
GO:0042873_aldonate transmembrane transport,1,8
GO:0042938_dipeptide transport,1,8
GO:0042939_tripeptide transport,1,8
GO:0042948_salicin transport,1,8
GO:0042949_arbutin transport,1,8
GO:0043085_positive regulation of catalytic activity,0.991,8
"GO:0043155_negative regulation of photosynthesis, light reaction",1,8
GO:0043171_peptide catabolic process,1,8
GO:0043201_response to leucine,1,8
GO:0043276_anoikis,1,8
GO:0043353_enucleate erythrocyte differentiation,1,8
